gameid,playoffs,game,team_x,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,team_y
ESPORTSTMNT05/1390161,0,1,G2 Esports,2059,1,7,-7,29,2.0,1.0,0.0,0.0,0.0,0.20390000000000003,0.0,0.0,1.0,1.0,3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,30225,880.7674000000002,-633.0160000000001,-1072.8607000000002,42,1.2239,3,0.08740000000000014,-1,120.0,3.496900000000001,6973,6973,203.1957,4190.0,0.1518392,41,9,8,-1529.0,-1461.0,17.0,-2545.0,-582.0,41.0,MAD Lions
ESPORTSTMNT05/1390196,0,1,Rogue,2544,1,9,-9,14,1.0,0.0,0.0,0.0,1.0,0.2123,0.0,0.0,2.0,2.0,-1.0,0.0,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,4.0,12640,298.1132,-191.8159999999998,-166.53300000000036,43,1.0141,-7,-0.16510000000000002,-8,63.0,1.4859000000000009,10732,10732,253.11329999999998,4050.0,0.1198526,80,18,34,796.0,406.0,22.0,2312.0,192.0,20.0,Misfits Gaming
ESPORTSTMNT05/1390213,0,1,Fnatic,2554,0,-13,13,-36,-3.0,0.0,0.0,0.0,0.0,-0.3054,0.0,1.0,-2.0,-2.0,-4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,1.0,0.0,-3.0,-21221,-498.5356999999999,328.9194000000002,466.9850999999999,-25,-0.5873000000000004,0,0.0,-7,-60.0,-1.4095999999999993,-10090,-10090,-237.0399,-4753.0,-0.1478234,-44,-25,-18,-503.0,-173.0,-16.0,-1526.0,-985.0,-32.0,Origen
ESPORTSTMNT05/1390241,0,1,Excel Esports,1913,0,-7,7,-15,-1.0,-1.0,0.0,0.0,0.0,-0.21960000000000002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-77,-2.4150999999999385,-392.05430000000024,-280.0523000000003,31,0.9723000000000002,11,0.345,12,94.0,2.9482,-5405,-5405,-169.5242999999998,-2160.0,-0.08257660000000001,60,19,29,-146.0,-400.0,-21.0,253.0,72.0,-19.0,Rogue
ESPORTSTMNT05/1390257,0,1,Fnatic,1201,1,12,-12,17,2.0,0.0,0.0,0.0,1.0,0.5995,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,11053,552.1899000000001,-498.38459999999986,-45.8617999999999,8,0.39959999999999996,1,0.049900000000000055,1,35.0,1.7485,11319,11319,565.4786999999999,8750.0,0.558214,21,-6,6,2857.0,3039.0,20.0,5882.0,3859.0,44.0,Misfits Gaming
ESPORTSTMNT05/1390263,0,1,SK Gaming,1853,0,-15,15,-46,-2.0,-1.0,0.0,0.0,1.0,-0.4857,0.0,0.0,-4.0,-4.0,-1.0,-2.0,0.0,-1.0,0.0,1.0,2.0,0.0,-1.0,0.0,-6.0,0.0,0.0,-2.0,-41032,-1328.613,622.2127,528.5374999999999,-5,-0.1618999999999997,-5,-0.16189999999999993,1,-39.0,-1.2627999999999995,-12296,-12296,-398.1436,-7625.0,-0.29968,-126,-35,-45,-164.0,-1778.0,-40.0,722.0,-786.0,-7.0,G2 Esports
ESPORTSTMNT02/1270555,0,1,Cloud9,1474,1,6,-6,12,1.0,0.0,0.0,0.0,0.0,0.24430000000000002,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,12663,515.4545999999999,-355.48160000000007,135.87509999999997,20,0.8142,7,0.28490000000000004,10,44.0,1.7910000000000004,8350,8350,339.89149999999995,3440.0,0.190952,27,-17,17,-203.0,-92.0,-7.0,-46.0,1109.0,4.0,Team Liquid
ESPORTSTMNT02/1270607,0,1,Immortals,2312,0,-13,13,-30,-3.0,0.0,0.0,0.0,1.0,-0.33740000000000003,0.0,0.0,-2.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-7.0,0.0,0.0,-2.0,-41852,-1086.1246,1069.2820000000002,-212.46540000000005,-24,-0.6227999999999998,-4,-0.10379999999999989,-7,-20.0,-0.5189999999999992,-11363,-11363,-294.88760000000013,-5275.0,-0.17528559999999999,-70,-5,-26,545.0,-53.0,17.0,967.0,-1164.0,-13.0,FlyQuest
ESPORTSTMNT02/1270857,0,1,Team SoloMid,3680,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,1.0,2.0,0.0,-3.0,1.0,-3.0,0.0,1.0,-3.0,-11879,-193.6793,680.8370000000004,1063.4185000000002,-48,-0.7826999999999997,3,0.04899999999999993,10,-145.0,-2.3640999999999996,-6230,-6230,-101.5761,-4310.0,-0.09984019999999999,29,28,4,404.0,915.0,30.0,2865.0,954.0,31.0,Immortals
ESPORTSTMNT02/1270874,0,1,FlyQuest,1889,1,13,-13,29,3.0,0.0,0.0,0.0,1.0,0.41290000000000004,0.0,1.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,14390,457.06729999999993,-97.09889999999996,655.0132000000001,-14,-0.4447000000000001,8,0.2541,-12,-11.0,-0.34940000000000015,8497,8497,269.88879999999995,5242.0,0.21156799999999998,21,-18,16,1878.0,519.0,-20.0,3163.0,2459.0,-4.0,Counter Logic Gaming
ESPORTSTMNT02/1271104,0,1,Team Liquid,2368,1,5,-5,16,0.0,0.0,0.0,0.0,0.0,0.1266,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,-1983,-50.244899999999916,256.4442999999999,1093.7078,-7,-0.1772999999999998,5,0.12660000000000005,-13,17.0,0.43069999999999986,8283,8283,209.87329999999997,1252.0,0.0416404,115,43,43,-1152.0,-367.0,9.0,-946.0,397.0,16.0,Team SoloMid
ESPORTSTMNT04/1120126,0,1,Origen,2141,1,9,-9,10,1.0,0.0,0.0,0.0,1.0,0.2522,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,19378,543.0546999999999,-283.94209999999975,-319.5328999999999,25,0.7006000000000001,10,0.2803,-5,150.0,4.203600000000001,10182,10182,285.3432,3690.0,0.143301,28,-44,27,1939.0,1015.0,-1.0,3591.0,1929.0,14.0,Rogue
ESPORTSTMNT04/1120150,0,1,Team Vitality,1381,0,-14,14,-33,-3.0,-1.0,0.0,0.0,0.0,-0.6083,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-20568,-893.6133,655.2208,706.3143,0,0.0,-4,-0.17380000000000007,0,-39.0,-1.6944,-11061,-11061,-480.5648,-7200.0,-0.41648599999999997,-41,11,-25,-2145.0,-2159.0,-53.0,-5503.0,-5219.0,-75.0,G2 Esports
ESPORTSTMNT04/1120173,0,1,FC Schalke 04 Esports,1317,0,-13,13,-29,-1.0,0.0,0.0,0.0,0.0,-0.5922000000000001,0.0,0.0,-3.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-7.0,0.0,0.0,-1.0,-17036,-776.1275,571.9361999999999,-26.195900000000165,-4,-0.18219999999999992,6,0.2733000000000001,0,-24.0,-1.0934,-13112,-13112,-597.3575999999999,-4718.0,-0.299946,-54,-4,-18,-2946.0,-1799.0,-14.0,-4841.0,-3815.0,-63.0,Fnatic
ESPORTSTMNT04/1130201,0,1,Rogue,1796,1,9,-9,25,1.0,0.0,0.0,0.0,1.0,0.3007,0.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,6972,232.9174999999999,61.03560000000016,971.1246999999998,-5,-0.16699999999999982,8,0.2672000000000001,-23,30.0,1.002200000000001,7558,7558,252.49439999999993,4034.0,0.1840622,3,-25,3,527.0,63.0,0.0,1969.0,2500.0,11.0,Team Vitality
ESPORTSTMNT04/1130210,0,1,SK Gaming,1751,0,-10,10,-16,-3.0,-1.0,0.0,0.0,0.0,-0.3427,0.0,0.0,-4.0,-4.0,-2.0,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,-1.0,1.0,-5.0,0.0,1.0,-1.0,1068,36.596300000000156,-349.51449999999977,-1084.3518000000001,-6,-0.2056,4,0.1371,3,-9.0,-0.3084000000000007,-7108,-7108,-243.56370000000004,-3342.0,-0.14502379999999998,-17,16,-7,741.0,-86.0,1.0,310.0,-1468.0,-5.0,Fnatic
ESPORTSTMNT04/1130221,0,1,G2 Esports,2137,1,12,-12,48,2.0,0.0,0.0,0.0,1.0,0.33690000000000003,0.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,5.0,1.0,1.0,1.0,14131,396.75250000000005,142.6017999999999,447.7678999999998,-2,-0.05609999999999982,25,0.7019,-4,79.0,2.218000000000001,8222,8222,230.84699999999998,115.0,0.00422658,46,3,28,40.0,-758.0,-10.0,808.0,-295.0,-21.0,Origen
ESPORTSTMNT01/1291426,0,1,Dignitas,2460,1,4,-4,23,0.0,0.0,0.0,0.0,1.0,0.09759999999999999,0.0,1.0,5.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,1.0,-1.0,1.0,1.0,-1.0,28674,699.3658,-983.8292000000001,-1240.3658999999998,-7,-0.17070000000000007,4,0.09750000000000014,5,16.0,0.39029999999999987,801,801,19.536599999999908,-2657.0,-0.07874160000000001,-69,-16,-33,822.0,562.0,3.0,135.0,-2052.0,-27.0,Team Liquid
